scaffold	length
LAII01001211.1	12110
LAII01001212.1	12100
LAII01001213.1	14040
LAII01001214.1	11930
LAII01001215.1	12030
LAII01001216.1	11940
LAII01001217.1	11830
LAII01001218.1	11890
LAII01001219.1	10120
LAII01001220.1	11780
LAII01000123.1	2696760
LAII01001221.1	11910
LAII01001222.1	11930
LAII01001223.1	12120
LAII01001224.1	11850
LAII01001225.1	11800
LAII01001226.1	12920
LAII01001227.1	12650
LAII01001228.1	12260
LAII01001229.1	11650
LAII01001230.1	11620
LAII01000124.1	2670010
LAII01001231.1	11510
LAII01001232.1	11530
LAII01001234.1	11560
LAII01001235.1	11220
LAII01001236.1	11580
LAII01001237.1	10070
LAII01001238.1	12340
LAII01001239.1	11770
LAII01001240.1	11230
LAII01000125.1	2639250
LAII01001241.1	11200
LAII01001242.1	11420
LAII01001243.1	11260
LAII01001244.1	11140
LAII01001245.1	11370
LAII01001246.1	11160
LAII01001247.1	11130
LAII01001248.1	11810
LAII01001249.1	13780
LAII01001250.1	11020
LAII01000126.1	2640220
LAII01001251.1	11000
LAII01001252.1	12290
LAII01001253.1	11030
LAII01001254.1	11160
LAII01001255.1	10970
LAII01001256.1	14910
LAII01001257.1	10890
LAII01001259.1	11970
LAII01001260.1	11690
LAII01000127.1	2607770
LAII01001261.1	11010
LAII01001262.1	10710
LAII01001264.1	10670
LAII01001265.1	10700
LAII01001266.1	10900
LAII01001267.1	10650
LAII01001268.1	10470
LAII01001270.1	10490
LAII01000128.1	2541310
LAII01001271.1	11920
LAII01001272.1	10480
LAII01001274.1	11940
LAII01001275.1	10520
LAII01001276.1	10420
LAII01001277.1	10450
LAII01001278.1	10370
LAII01001279.1	10440
LAII01000129.1	2530370
LAII01001281.1	10370
LAII01001282.1	10580
LAII01001283.1	10260
LAII01001284.1	10220
LAII01001285.1	10280
LAII01001287.1	10050
LAII01001288.1	10280
LAII01001289.1	10970
LAII01001290.1	10160
LAII01000130.1	2495030
LAII01001291.1	10020
LAII01001292.1	11020
LAII01001293.1	10060
LAII01001294.1	10450
LAII01001296.1	10050
LAII01001298.1	10560
LAII01000014.1	8710210
LAII01000131.1	2479920
LAII01001309.1	10790
LAII01000132.1	2473110
LAII01001320.1	11640
LAII01000133.1	2472160
LAII01001327.1	18720
LAII01001330.1	10220
LAII01000134.1	2436930
LAII01001338.1	10780
LAII01001340.1	10210
LAII01000135.1	2406880
LAII01001343.1	10580
LAII01000136.1	2369490
LAII01001351.1	13710
LAII01000137.1	2305510
LAII01000138.1	2306020
LAII01000139.1	2301910
LAII01000140.1	2298860
LAII01000015.1	8636380
LAII01000141.1	2264720
LAII01000142.1	2255260
LAII01000143.1	2206840
LAII01000144.1	2151200
LAII01000145.1	2123790
LAII01000146.1	2124000
LAII01000147.1	2116150
LAII01000148.1	2100610
LAII01000149.1	2095900
LAII01001484.1	11950
LAII01000150.1	2092990
LAII01000016.1	8489340
LAII01000151.1	2083400
LAII01000152.1	2064520
LAII01000153.1	2041300
LAII01000154.1	2042040
LAII01000155.1	2033750
LAII01000156.1	2030080
LAII01000157.1	2026280
LAII01000158.1	2013800
LAII01000159.1	1997250
LAII01000160.1	1994430
LAII01000017.1	8031010
LAII01000161.1	1972570
LAII01001606.1	11710
LAII01000162.1	1941740
LAII01000163.1	1942880
LAII01000164.1	1943330
LAII01000165.1	1926020
LAII01000166.1	1907970
LAII01000167.1	1891440
LAII01000168.1	1883640
LAII01000169.1	1855400
LAII01000170.1	1850080
LAII01000018.1	8030200
LAII01000171.1	1847260
LAII01000172.1	1816730
LAII01000173.1	1812570
LAII01000174.1	1788770
LAII01000175.1	1749280
LAII01000176.1	1745300
LAII01000177.1	1744200
LAII01000178.1	1746200
LAII01000179.1	1738330
LAII01000180.1	1738500
LAII01000019.1	7756400
LAII01000181.1	1712310
LAII01000182.1	1681990
LAII01000183.1	1673610
LAII01000184.1	1671140
LAII01000185.1	1654530
LAII01000186.1	1648160
LAII01000187.1	1644660
LAII01000188.1	1644730
LAII01000189.1	1647580
LAII01000190.1	1618250
LAII01000020.1	7651240
LAII01000191.1	1617360
LAII01000192.1	1595440
LAII01000193.1	1597170
LAII01000194.1	1589940
LAII01000195.1	1583760
LAII01000196.1	1583380
LAII01000197.1	1580360
LAII01000198.1	1575490
LAII01000199.1	1588220
LAII01000200.1	1580190
LAII01000003.1	10855350
LAII01000021.1	7474460
LAII01000201.1	1569200
LAII01000202.1	1564810
LAII01000203.1	1550690
LAII01000204.1	1543480
LAII01000205.1	1542600
LAII01000206.1	1538120
LAII01000207.1	1499200
LAII01000208.1	1474020
LAII01000209.1	1465110
LAII01000210.1	1438860
LAII01000022.1	7284130
LAII01000211.1	1439410
LAII01000212.1	1434840
LAII01000213.1	1425320
LAII01000214.1	1426860
LAII01000215.1	1391110
LAII01000216.1	1387890
LAII01000217.1	1363210
LAII01000218.1	1361050
LAII01000219.1	1331930
LAII01000220.1	1320680
LAII01000023.1	7164620
LAII01000221.1	1304920
LAII01000222.1	1299920
LAII01000223.1	1303710
LAII01000224.1	1289080
LAII01000225.1	1286510
LAII01000226.1	1254230
LAII01000227.1	1254190
LAII01000228.1	1241690
LAII01000229.1	1235730
LAII01000230.1	1238570
LAII01000024.1	7134540
LAII01000231.1	1215130
LAII01000232.1	1204060
LAII01000233.1	1186100
LAII01000234.1	1187920
LAII01000235.1	1182720
LAII01000236.1	1181400
LAII01000237.1	1189480
LAII01000238.1	1163120
LAII01000239.1	1164360
LAII01000240.1	1139090
LAII01000025.1	7130220
LAII01000241.1	1135060
LAII01000242.1	1125330
LAII01000243.1	1124990
LAII01000244.1	1132780
LAII01000245.1	1111400
LAII01000246.1	1090820
LAII01000247.1	1088740
LAII01000248.1	1087070
LAII01000249.1	1085240
LAII01000250.1	1074940
LAII01000026.1	6985030
LAII01000251.1	1051140
LAII01000252.1	1046880
LAII01000253.1	1038800
LAII01000254.1	1021640
LAII01000255.1	989830
LAII01000256.1	990710
LAII01000257.1	979720
LAII01000258.1	976810
LAII01000259.1	975500
LAII01000260.1	972800
LAII01000027.1	6820460
LAII01000261.1	971570
LAII01000262.1	958720
LAII01000263.1	957100
LAII01000264.1	954620
LAII01000265.1	946980
LAII01000266.1	942730
LAII01000267.1	937160
LAII01000268.1	937090
LAII01000269.1	934030
LAII01000270.1	929900
LAII01000028.1	6723840
LAII01000271.1	918750
LAII01000272.1	917950
LAII01000273.1	909160
LAII01000274.1	910740
LAII01000275.1	907300
LAII01000276.1	903480
LAII01000277.1	902260
LAII01000278.1	894120
LAII01000279.1	889110
LAII01000280.1	881530
LAII01000029.1	6568940
LAII01000281.1	878940
LAII01000282.1	872720
LAII01000283.1	865510
LAII01000284.1	858230
LAII01000285.1	851560
LAII01000286.1	838730
LAII01000287.1	835470
LAII01000288.1	826470
LAII01000289.1	816390
LAII01000290.1	804560
LAII01000030.1	6570130
LAII01000291.1	804130
LAII01000292.1	820630
LAII01000293.1	795150
LAII01000294.1	792390
LAII01000295.1	786750
LAII01000296.1	782580
LAII01000297.1	780140
LAII01000298.1	774410
LAII01000299.1	768050
LAII01000300.1	764360
LAII01000004.1	10759100
LAII01000031.1	6546320
LAII01000301.1	764210
LAII01000302.1	753670
LAII01000303.1	750880
LAII01000304.1	744850
LAII01000305.1	740660
LAII01000306.1	740590
LAII01000307.1	728610
LAII01000308.1	722930
LAII01000309.1	721850
LAII01000310.1	701980
LAII01000032.1	6513210
LAII01000311.1	689580
LAII01000312.1	686360
LAII01000313.1	675110
LAII01000314.1	666970
LAII01000315.1	687100
LAII01000316.1	661070
LAII01000317.1	657620
LAII01000318.1	658060
LAII01000319.1	655150
LAII01000320.1	638180
LAII01000033.1	6495800
LAII01000321.1	645460
LAII01000322.1	641850
LAII01000323.1	636390
LAII01000324.1	634570
LAII01000325.1	637060
LAII01000326.1	630570
LAII01000327.1	628360
LAII01000328.1	628370
LAII01000329.1	627080
LAII01000330.1	624430
LAII01000034.1	6493880
LAII01000331.1	624970
LAII01000332.1	611570
LAII01000333.1	600370
LAII01000334.1	599220
LAII01000335.1	599480
LAII01000336.1	597030
LAII01000337.1	594370
LAII01000338.1	595210
LAII01000339.1	593490
LAII01000340.1	592340
LAII01000035.1	6399570
LAII01000341.1	596870
LAII01000342.1	574150
LAII01000343.1	571380
LAII01000344.1	565490
LAII01000345.1	561600
LAII01000346.1	559920
LAII01000347.1	554410
LAII01000348.1	557110
LAII01000349.1	552280
LAII01000350.1	554110
LAII01000036.1	6338840
LAII01000351.1	550690
LAII01000352.1	550510
LAII01000353.1	548030
LAII01000354.1	546900
LAII01000355.1	542840
LAII01000356.1	547650
LAII01000357.1	529710
LAII01000358.1	525280
LAII01000359.1	525120
LAII01000360.1	501670
LAII01000037.1	6182440
LAII01000361.1	498310
LAII01000362.1	495660
LAII01000363.1	489920
LAII01000364.1	482660
LAII01000365.1	482370
LAII01000366.1	479880
LAII01000367.1	479660
LAII01000368.1	476670
LAII01000369.1	472860
LAII01000370.1	470110
LAII01000038.1	6178860
LAII01000371.1	467650
LAII01000372.1	470510
LAII01000373.1	463360
LAII01000374.1	461470
LAII01000375.1	462010
LAII01000376.1	457470
LAII01000377.1	454320
LAII01000378.1	450150
LAII01000379.1	448680
LAII01000380.1	452160
LAII01000039.1	5878420
LAII01000381.1	442630
LAII01000382.1	442730
LAII01000383.1	441290
LAII01000384.1	442380
LAII01000385.1	445050
LAII01000386.1	433290
LAII01000387.1	433150
LAII01000388.1	435690
LAII01000389.1	432340
LAII01000390.1	430640
LAII01000040.1	5823470
LAII01000391.1	426760
LAII01000392.1	433810
LAII01000393.1	419950
LAII01000394.1	420170
LAII01000395.1	419590
LAII01000396.1	416990
LAII01000397.1	412350
LAII01000398.1	410740
LAII01000399.1	420330
LAII01000400.1	418780
LAII01000005.1	10442070
LAII01000041.1	5771040
LAII01000401.1	408280
LAII01000402.1	404660
LAII01000403.1	400650
LAII01000404.1	397880
LAII01000405.1	394260
LAII01000406.1	393690
LAII01000407.1	393280
LAII01000408.1	386130
LAII01000409.1	388720
LAII01000410.1	386960
LAII01000042.1	5661290
LAII01000411.1	384650
LAII01000412.1	382900
LAII01000413.1	375900
LAII01000414.1	375770
LAII01000415.1	371730
LAII01000416.1	370730
LAII01000417.1	372870
LAII01000418.1	362860
LAII01000419.1	361960
LAII01000420.1	361460
LAII01000043.1	5519290
LAII01000421.1	360080
LAII01000422.1	355150
LAII01000423.1	363660
LAII01000424.1	360190
LAII01000425.1	356710
LAII01000426.1	351220
LAII01000427.1	351700
LAII01000428.1	347940
LAII01000429.1	344710
LAII01000430.1	344300
LAII01000044.1	5490790
LAII01000431.1	342480
LAII01000432.1	335120
LAII01000433.1	332770
LAII01000434.1	333280
LAII01000435.1	329110
LAII01000436.1	328070
LAII01000437.1	333240
LAII01000438.1	326120
LAII01000439.1	326130
LAII01000440.1	325160
LAII01000045.1	5450280
LAII01000441.1	322930
LAII01000442.1	318530
LAII01000443.1	317350
LAII01000444.1	314840
LAII01000445.1	314590
LAII01000446.1	313250
LAII01000447.1	313970
LAII01000448.1	313060
LAII01000449.1	311830
LAII01000450.1	310700
LAII01000046.1	5206330
LAII01000451.1	302150
LAII01000452.1	304340
LAII01000453.1	299390
LAII01000454.1	297930
LAII01000455.1	297640
LAII01000456.1	291590
LAII01000457.1	293120
LAII01000458.1	291400
LAII01000459.1	291100
LAII01000460.1	290420
LAII01000047.1	5215980
LAII01000461.1	285810
LAII01000462.1	285680
LAII01000463.1	284550
LAII01000464.1	284910
LAII01000465.1	279710
LAII01000466.1	286660
LAII01000467.1	273490
LAII01000468.1	272700
LAII01000469.1	271340
LAII01000470.1	267140
LAII01000048.1	5167550
LAII01000471.1	266550
LAII01000472.1	267680
LAII01000473.1	263580
LAII01000474.1	253660
LAII01000475.1	253510
LAII01000476.1	256900
LAII01000477.1	254280
LAII01000478.1	248840
LAII01000479.1	251270
LAII01000480.1	245610
LAII01000049.1	5036360
LAII01000481.1	245100
LAII01000482.1	251000
LAII01000483.1	243230
LAII01000484.1	243740
LAII01000485.1	241700
LAII01000486.1	240600
LAII01000487.1	241670
LAII01000488.1	239950
LAII01000489.1	240200
LAII01000490.1	237960
LAII01000050.1	5012000
LAII01000491.1	237740
LAII01000492.1	234810
LAII01000493.1	236970
LAII01000494.1	233050
LAII01000495.1	233180
LAII01000496.1	231630
LAII01000497.1	233230
LAII01000498.1	230850
LAII01000499.1	230080
LAII01000500.1	229110
LAII01000006.1	10369370
LAII01000051.1	4979650
LAII01000501.1	231640
LAII01000502.1	225720
LAII01000503.1	222980
LAII01000504.1	222380
LAII01000505.1	217610
LAII01000506.1	217360
LAII01000507.1	216700
LAII01000508.1	214380
LAII01000509.1	213790
LAII01000510.1	213420
LAII01000052.1	4963930
LAII01000511.1	213600
LAII01000512.1	214240
LAII01000513.1	211190
LAII01000514.1	207270
LAII01000515.1	208640
LAII01000516.1	208870
LAII01000517.1	206570
LAII01000518.1	205700
LAII01000519.1	205670
LAII01000520.1	200540
LAII01000053.1	4811980
LAII01000521.1	200990
LAII01000522.1	199800
LAII01000523.1	196370
LAII01000524.1	194260
LAII01000525.1	192790
LAII01000526.1	193640
LAII01000527.1	192220
LAII01000528.1	190880
LAII01000529.1	190140
LAII01000530.1	186440
LAII01000054.1	4792380
LAII01000531.1	184410
LAII01000532.1	180480
LAII01000533.1	178650
LAII01000534.1	175850
LAII01000535.1	171720
LAII01000536.1	170330
LAII01000537.1	170160
LAII01000538.1	165700
LAII01000539.1	170860
LAII01000540.1	167530
LAII01000055.1	4663800
LAII01000541.1	166780
LAII01000542.1	159190
LAII01000543.1	171530
LAII01000544.1	162810
LAII01000545.1	163640
LAII01000546.1	163450
LAII01000547.1	164840
LAII01000548.1	160560
LAII01000549.1	159060
LAII01000550.1	159010
LAII01000056.1	4653990
LAII01000551.1	157440
LAII01000552.1	164650
LAII01000553.1	156670
LAII01000554.1	156290
LAII01000555.1	154280
LAII01000556.1	153820
LAII01000557.1	153810
LAII01000558.1	156930
LAII01000559.1	153220
LAII01000560.1	151920
LAII01000057.1	4612650
LAII01000561.1	147170
LAII01000562.1	150260
LAII01000563.1	149020
LAII01000564.1	148900
LAII01000565.1	148350
LAII01000566.1	147810
LAII01000567.1	147390
LAII01000568.1	147110
LAII01000569.1	145560
LAII01000570.1	139640
LAII01000058.1	4542280
LAII01000571.1	144800
LAII01000572.1	142710
LAII01000573.1	141720
LAII01000574.1	141300
LAII01000575.1	149500
LAII01000576.1	140390
LAII01000577.1	138930
LAII01000578.1	138450
LAII01000579.1	136830
LAII01000580.1	143610
LAII01000059.1	4468600
LAII01000581.1	132890
LAII01000582.1	141270
LAII01000583.1	128800
LAII01000584.1	127670
LAII01000585.1	127760
LAII01000586.1	126310
LAII01000587.1	124930
LAII01000588.1	124570
LAII01000589.1	124280
LAII01000590.1	122870
LAII01000060.1	4451910
LAII01000591.1	122710
LAII01000592.1	121330
LAII01000593.1	122080
LAII01000594.1	120520
LAII01000595.1	120780
LAII01000596.1	119060
LAII01000597.1	118860
LAII01000598.1	117910
LAII01000599.1	119820
LAII01000600.1	116540
LAII01000007.1	10101450
LAII01000061.1	4431480
LAII01000601.1	117100
LAII01000602.1	112060
LAII01000603.1	115270
LAII01000604.1	114740
LAII01000605.1	118270
LAII01000606.1	115090
LAII01000607.1	114760
LAII01000608.1	113760
LAII01000609.1	113230
LAII01000610.1	112630
LAII01000062.1	4400870
LAII01000611.1	112360
LAII01000612.1	112040
LAII01000613.1	111400
LAII01000614.1	110630
LAII01000615.1	110540
LAII01000616.1	108450
LAII01000617.1	107830
LAII01000618.1	108750
LAII01000619.1	107320
LAII01000620.1	107040
LAII01000063.1	4354740
LAII01000621.1	104950
LAII01000622.1	105310
LAII01000623.1	105490
LAII01000624.1	105020
LAII01000625.1	106680
LAII01000626.1	103720
LAII01000627.1	103910
LAII01000628.1	103560
LAII01000629.1	100960
LAII01000630.1	99830
LAII01000064.1	4270210
LAII01000631.1	100990
LAII01000632.1	98130
LAII01000633.1	97320
LAII01000634.1	95770
LAII01000635.1	95830
LAII01000636.1	95740
LAII01000637.1	94820
LAII01000638.1	93130
LAII01000639.1	92750
LAII01000640.1	91100
LAII01000065.1	4254300
LAII01000641.1	90080
LAII01000642.1	86440
LAII01000643.1	119600
LAII01000644.1	83070
LAII01000645.1	82760
LAII01000646.1	85420
LAII01000647.1	85540
LAII01000648.1	82600
LAII01000649.1	81180
LAII01000650.1	83380
LAII01000066.1	4248350
LAII01000651.1	75540
LAII01000652.1	78690
LAII01000653.1	77710
LAII01000654.1	77890
LAII01000655.1	78330
LAII01000656.1	75460
LAII01000657.1	76580
LAII01000658.1	75860
LAII01000659.1	77490
LAII01000660.1	75080
LAII01000067.1	4176310
LAII01000661.1	75710
LAII01000662.1	70520
LAII01000663.1	71850
LAII01000664.1	72790
LAII01000665.1	73860
LAII01000666.1	72250
LAII01000667.1	72360
LAII01000668.1	72570
LAII01000669.1	73020
LAII01000670.1	71960
LAII01000068.1	4153400
LAII01000671.1	70580
LAII01000672.1	69190
LAII01000673.1	70260
LAII01000674.1	69770
LAII01000675.1	68690
LAII01000676.1	73750
LAII01000677.1	69500
LAII01000678.1	72510
LAII01000679.1	69640
LAII01000680.1	68910
LAII01000069.1	4092860
LAII01000681.1	67670
LAII01000682.1	66970
LAII01000683.1	66240
LAII01000684.1	66900
LAII01000685.1	65170
LAII01000686.1	66320
LAII01000687.1	66720
LAII01000688.1	66400
LAII01000689.1	66140
LAII01000690.1	65650
LAII01000070.1	4067330
LAII01000691.1	62090
LAII01000692.1	66360
LAII01000693.1	62310
LAII01000694.1	65440
LAII01000695.1	65410
LAII01000696.1	66790
LAII01000697.1	65140
LAII01000698.1	64640
LAII01000699.1	64880
LAII01000700.1	63510
LAII01000008.1	9963540
LAII01000071.1	4009200
LAII01000701.1	57300
LAII01000702.1	64580
LAII01000703.1	61340
LAII01000704.1	62490
LAII01000705.1	61960
LAII01000706.1	61620
LAII01000707.1	62240
LAII01000708.1	61610
LAII01000709.1	55550
LAII01000710.1	56140
LAII01000072.1	3979170
LAII01000711.1	61890
LAII01000712.1	60540
LAII01000713.1	59940
LAII01000714.1	60020
LAII01000715.1	59380
LAII01000716.1	59310
LAII01000717.1	60100
LAII01000718.1	58530
LAII01000719.1	58560
LAII01000720.1	63250
LAII01000073.1	3971890
LAII01000721.1	60870
LAII01000722.1	58800
LAII01000723.1	57590
LAII01000724.1	57980
LAII01000725.1	57780
LAII01000726.1	57230
LAII01000727.1	56880
LAII01000728.1	56090
LAII01000729.1	56160
LAII01000730.1	56140
LAII01000074.1	3962340
LAII01000731.1	56160
LAII01000732.1	56610
LAII01000733.1	52240
LAII01000734.1	54470
LAII01000735.1	54910
LAII01000736.1	55690
LAII01000737.1	56170
LAII01000738.1	54900
LAII01000739.1	54680
LAII01000740.1	53820
LAII01000075.1	3782900
LAII01000741.1	54110
LAII01000742.1	49500
LAII01000743.1	52970
LAII01000744.1	53060
LAII01000745.1	56400
LAII01000746.1	52490
LAII01000747.1	52910
LAII01000748.1	52090
LAII01000749.1	52020
LAII01000750.1	53550
LAII01000076.1	3774870
LAII01000751.1	51750
LAII01000752.1	51590
LAII01000753.1	52690
LAII01000754.1	52800
LAII01000755.1	51340
LAII01000756.1	52590
LAII01000757.1	50310
LAII01000758.1	50660
LAII01000759.1	49190
LAII01000760.1	51370
LAII01000077.1	3674720
LAII01000761.1	50020
LAII01000762.1	48840
LAII01000763.1	48500
LAII01000764.1	45580
LAII01000765.1	46080
LAII01000766.1	47780
LAII01000767.1	47770
LAII01000768.1	47520
LAII01000769.1	48700
LAII01000770.1	48050
LAII01000078.1	3674330
LAII01000771.1	48040
LAII01000772.1	44550
LAII01000773.1	46720
LAII01000774.1	45200
LAII01000775.1	42360
LAII01000776.1	45740
LAII01000777.1	48510
LAII01000778.1	45880
LAII01000779.1	45550
LAII01000780.1	45240
LAII01000079.1	3646590
LAII01000781.1	43910
LAII01000782.1	45920
LAII01000783.1	56060
LAII01000784.1	43570
LAII01000785.1	43360
LAII01000786.1	45380
LAII01000787.1	44760
LAII01000788.1	43320
LAII01000789.1	44870
LAII01000790.1	43280
LAII01000080.1	3643100
LAII01000791.1	43530
LAII01000792.1	43950
LAII01000793.1	42880
LAII01000794.1	42860
LAII01000795.1	42700
LAII01000796.1	46960
LAII01000797.1	39010
LAII01000798.1	41200
LAII01000799.1	43360
LAII01000800.1	42580
LAII01000009.1	9896420
LAII01000081.1	3640530
LAII01000801.1	41790
LAII01000802.1	40800
LAII01000803.1	40450
LAII01000804.1	38820
LAII01000805.1	37960
LAII01000806.1	39530
LAII01000807.1	39490
LAII01000808.1	39330
LAII01000809.1	39080
LAII01000810.1	36270
LAII01000082.1	3637710
LAII01000811.1	36060
LAII01000812.1	37080
LAII01000813.1	40230
LAII01000814.1	38840
LAII01000815.1	37590
LAII01000816.1	38640
LAII01000817.1	38150
LAII01000818.1	38170
LAII01000819.1	37450
LAII01000820.1	38460
LAII01000083.1	3580100
LAII01000821.1	37930
LAII01000822.1	37750
LAII01000823.1	36230
LAII01000824.1	35980
LAII01000825.1	35930
LAII01000826.1	37080
LAII01000827.1	36130
LAII01000828.1	36820
LAII01000829.1	35670
LAII01000830.1	34000
LAII01000084.1	3581240
LAII01000831.1	35300
LAII01000832.1	35670
LAII01000833.1	37000
LAII01000834.1	31340
LAII01000835.1	33900
LAII01000836.1	34420
LAII01000837.1	34300
LAII01000838.1	34700
LAII01000839.1	34330
LAII01000840.1	34470
LAII01000085.1	3515160
LAII01000841.1	34100
LAII01000842.1	38950
LAII01000843.1	34160
LAII01000844.1	38980
LAII01000845.1	33760
LAII01000846.1	45120
LAII01000847.1	34170
LAII01000848.1	33760
LAII01000849.1	33290
LAII01000850.1	33140
LAII01000086.1	3496840
LAII01000851.1	33700
LAII01000852.1	30700
LAII01000853.1	34400
LAII01000854.1	36140
LAII01000855.1	27570
LAII01000856.1	32030
LAII01000857.1	31960
LAII01000858.1	31340
LAII01000859.1	31320
LAII01000860.1	32540
LAII01000087.1	3443800
LAII01000861.1	28000
LAII01000862.1	31420
LAII01000863.1	30740
